,Brand,Model_Year,Model,Platform,Category,Sub_Cat,Stack,Reach,SR_ratio,TT_length,ST_length,ST_Angle,HT_length,HT_Angle,CS_length,BB_drop,BB_height,sizes.2.geometry.source.frontCenterMM,Wheelbase,Standover,Rake,Trail
0,Trek,2023,Checkpoint ALR 5 Driftless,Checkpoint,road,gravel,571.0,403.0,1.417,570.0,540.0,73.2,125.0,71.8,435.0,76.0,,,1041.0,789.0,,70.0
14,Specialized,2023,Diverge Comp E5,Diverge,road,gravel,592.0,383.0,1.546,558.0,470.0,73.5,116.0,71.25,432.0,80.0,270.0,620.0,,738.0,55.0,61.0
15,Canyon,2023,Grail CF SL 7 Rapha,Grail,road,gravel,513.0,405.0,1.267,547.0,492.0,73.5,78.0,71.0,425.0,75.0,,,1020.0,805.0,,
16,Canyon,2023,Endurace CF SL 8,Endurace,road,endurance,532.0,370.0,1.438,527.0,462.0,73.5,115.0,71.0,415.0,75.0,,,982.0,750.0,,
33,Trek,2023,Émonda ALR 5,Émonda,road,race,541.0,386.0,1.402,543.0,496.0,73.7,131.0,73.0,410.0,70.0,,,981.0,744.0,,56.0
35,Trek,2023,Domane SLR 9 AXS Gen 3,Domane,road,endurance,561.0,371.0,1.512,530.0,475.0,74.2,145.0,71.3,420.0,80.0,,,1003.0,735.0,,59.0
65,Specialized,2023,S-Works Tarmac SL7 - SRAM Red eTap AXS,Tarmac SL7,road,race,517.0,383.0,1.35,531.0,458.0,74.0,113.0,72.5,410.0,74.0,266.0,577.0,975.0,746.0,47.0,58.0
151,Specialized,2023,S-Works Crux,Crux,road,cyclocross,560.0,388.0,1.443,549.0,521.0,74.0,130.0,71.5,425.0,72.0,286.0,608.0,1023.0,794.0,50.0,67.0
158,Canyon,2023,Ultimate CF SL 7 Disc,Ultimate,road,race,546.0,385.0,1.418,543.0,494.0,73.8,130.0,72.25,415.0,70.0,,,993.0,775.0,,
174,CUBE,2023,NUROAD C:62 SLX,NUROAD,road,gravel,578.0,389.0,1.486,560.0,494.0,73.5,154.0,71.5,440.0,70.0,,,1041.0,,,
206,Giant,2023,"Defy, Advanced Pro 1","Defy Advanced, Pro",road,endurance,567.0,377.0,1.504,545.0,480.0,73.5,160.0,72.5,420.0,75.0,,,998.0,786.0,50.0,58.2
210,Trek,2023,Madone SL 6 Di2,Madone,road,aero,533.0,383.0,1.392,534.0,483.0,74.2,121.0,72.8,410.0,72.0,,,977.0,732.0,,58.0
245,Giant,2022,"Contend SL, Disc 2",Contend,road,endurance,577.0,384.0,1.503,560.0,515.0,73.0,178.0,72.5,412.0,70.0,,,1002.0,803.0,50.0,58.4
271,Giant,2022,"Defy, Advanced 3","Defy, Advanced",road,endurance,567.0,377.0,1.504,545.0,480.0,73.5,160.0,72.5,420.0,75.0,,,998.0,786.0,50.0,58.2
289,BMC,2023,Teammachine SLR01 FIVE,Teammachine,road,race,550.0,386.0,1.425,549.0,504.0,73.5,145.0,72.3,410.0,69.0,,589.0,989.0,779.0,43.0,63.0
298,Orbea,2023,GAIN M10i,GAIN,road,endurance,569.0,386.0,1.474,555.0,490.0,73.5,158.0,71.5,415.0,78.0,263.0,,1011.0,782.0,50.0,61.4
305,Orbea,2023,TERRA H40,TERRA,road,gravel,570.0,389.0,1.465,558.0,491.0,73.5,152.0,71.0,430.0,78.0,263.0,,1039.0,759.0,,59.0
308,Giant,2023,"Propel, Advanced SL 1",Propel,road,aero,562.0,393.0,1.43,565.0,770.0,73.0,165.0,73.0,405.0,65.0,,,991.0,794.0,45.0,59.2
329,Kona,2022,Rove AL/DL,Rove,road,gravel,558.0,383.0,1.457,543.0,520.0,74.0,120.0,71.0,435.0,72.0,278.0,607.0,1032.0,779.0,50.0,
330,Specialized,2022,Roubaix Comp,Roubaix,road,endurance,570.0,368.0,1.549,533.0,446.0,74.0,112.0,72.0,413.0,77.5,265.0,586.0,986.0,743.0,50.0,59.0
333,Surly,2022,Disc Trucker,Disc Trucker,road,touring,561.0,369.0,1.52,530.0,500.0,74.0,170.0,71.0,450.0,50.0,,,1040.0,766.0,45.0,
387,Scott,2023,Addict RC 40,Addict RC,road,race,526.5,389.0,1.353,540.0,520.0,74.0,115.0,72.0,410.0,70.0,274.5,,,755.0,,
396,Norco,2023,Search XR Flat Bar,Search,road,gravel,580.0,420.0,1.381,592.0,510.0,73.5,160.0,70.0,435.0,75.0,279.0,,1086.0,734.0,50.0,76.0
403,CUBE,2023,ATTAIN GTC SLX,ATTAIN,road,endurance,591.0,385.0,1.535,560.0,520.0,73.5,182.0,72.5,415.0,74.0,,,1009.0,,,
414,BMC,2023,Roadmachine FIVE,Roadmachine,road,endurance,562.0,386.0,1.456,546.0,500.0,74.2,156.0,72.0,410.0,71.0,,597.0,997.0,782.0,45.0,63.0
433,Cannondale,2023,CAAD13 Ultegra,CAAD13,road,race,575.0,389.0,1.478,562.0,540.0,73.3,164.0,73.0,408.0,72.0,271.0,594.0,992.0,805.0,45.0,575.0
439,BMC,2023,URS LT ONE,URS,road,gravel,603.0,419.0,1.439,591.0,492.0,74.0,172.0,70.0,425.0,69.0,,665.0,1081.0,810.0,45.0,77.0
456,Cannondale,2022,CAADX Tiagra,CAADX,road,cyclocross,555.0,378.0,1.468,537.0,540.0,74.0,132.0,71.0,422.0,69.0,281.0,607.0,1020.0,791.0,55.0,62.0
486,Giant,2022,"ToughRoad, SLR 1",ToughRoad,road,gravel,623.0,403.0,1.546,605.0,510.0,72.0,170.0,72.0,450.0,70.0,,,1071.0,795.0,42.0,74.9
488,Trek,2023,Domane+ AL 5,Domane+,road,endurance,575.0,374.0,1.537,542.0,500.0,73.7,145.0,71.3,430.0,80.0,,,1021.0,772.0,,64.0
498,Scott,2023,Foil RC 30,Foil RC,road,aero,527.0,389.0,1.355,540.0,502.4,74.0,121.0,72.0,412.0,70.0,274.5,,990.7,779.4,,
503,Trek,2023,520,520,road,gravel,565.0,378.0,1.495,543.0,512.0,73.8,140.0,71.0,450.0,70.0,278.0,,1048.0,768.0,,65.0
506,Salsa,2022,Journeyer Sora 650b,Journeyer,road,gravel,552.0,372.0,1.484,530.0,410.0,74.0,130.0,69.5,440.0,70.0,,,1040.0,677.0,50.0,
524,Specialized,2023,S-Works Aethos - Dura-Ace Di2,Aethos,road,endurance,544.0,384.0,1.417,540.0,481.0,74.0,137.0,73.0,410.0,72.0,268.0,579.0,978.0,748.0,44.0,58.0
525,Orbea,2023,AVANT H60,AVANT,road,endurance,565.0,375.0,1.507,539.0,470.0,73.75,161.0,71.9,425.0,75.0,264.0,,1004.0,761.0,48.0,
528,Trek,2023,Boone 6,Boone,road,cyclocross,562.0,383.0,1.467,544.0,513.0,74.0,138.0,72.0,425.0,68.0,,,1010.0,779.0,,67.0
545,Kona,2022,Jake the Snake,Major Jake,road,cyclocross,560.0,385.0,1.455,546.0,520.0,74.0,137.9,70.5,425.0,70.0,282.0,610.0,1026.0,787.0,45.0,
546,CUBE,2023,"AGREE C:62, SLT",AGREE,road,aero,572.0,391.0,1.463,560.0,500.0,73.5,157.0,72.5,412.0,71.0,,,1007.0,,,
552,Specialized,2023,Turbo Creo SL Comp E5,Turbo Creo,road,endurance,615.0,384.0,1.602,566.0,500.0,73.5,185.5,73.0,430.0,78.0,283.0,605.0,1023.0,836.0,50.0,58.0
