model_year,Stack,Reach,SR_ratio,TT_length,ST_length,ST_Angle,HT_length,HT_Angle,CS_length,BB_drop,BB_height,sizes.2.geometry.source.frontCenterMM,Wheelbase,Standover,Rake,Trail
2020,512,378,1.354,520,460,74.5,120,74,410,45,,,965,751,44,
2023,541,386,1.402,543,496,73.7,131,73,410,70,,,981,744,,56
2023,562,393,1.43,565,770,73,165,73,405,65,,,991,794,45,59.2
2023,575,389,1.478,562,540,73.3,164,73,408,72,271,594,992,805,45,575
2023,544,384,1.417,540,481,74,137,73,410,72,268,579,978,748,44,58
2023,615,384,1.602,566,500,73.5,185.5,73,430,78,283,605,1023,836,50,58
2023,545,388,1.405,550,470,73.5,145,73,405,70,,,980,747,45,59.2
2023,540,386,1.399,544,482,73.7,128,73,405,72,269,581,975,762,45,57
2023,563,413,1.363,580,585,73.5,178,73,390,58,,616,999,807,43,58
2023,542,389,1.393,550,500,73.5,125,73,410,69,,,984,,,
2023,537,387,1.388,541,510,74,133,73,410,72,268,580,979,765,44,58
2022,540,386,1.399,544,482,73.7,128,73,405,72,269,581,975,762,45,57
2022,552,376,1.468,542,490,73.25,140,73,420,77,263,576,983,745,47,55
2021,545,383,1.423,550,520,73,145,73,405,68,,,976,787,45,57
2021,542,389,1.393,550,500,73.5,125,73,410,69,,,980,779,,
2020,534,387,1.38,540,495,74,133,73,410,72,268,579,978,773,44,58
2020,545,383,1.423,550,470,73,148,73,405,68,,,976,765,45,57
2020,562,398,1.412,570,503,73,168,73,405,65,,,997,787,45,57.2
2019,563,413,1.363,580,585,73.5,178,73,390,58,,616,999,,43,58
2019,557,395,1.41,560,530,73.5,150,73,407.5,70,270,595,992,780,,
2017,563,413,1.363,580,585,73.5,178,73,390,58,,616,999,807,43,58
2017,545,379,1.438,530,520,74.5,136,73,405,67,272,,980,765,,
2014,543,387,1.403,548,510,73.5,140,73,405,69,,583,978,775,45,57
2013,543,387,1.403,548,510,73.5,140,73,405,69,,583,978,775,45,57
2013,544,386,1.409,548,507,73.5,140,73,405,69,,583,978,789,45,57
2012,563,388,1.451,560,540,73,160,73,405,70,270,590,985,793,,
2012,544,386,1.409,548,507,73.5,140,73,405,69,,583,978,789,45,57
2023,533,383,1.392,534,483,74.2,121,72.8,410,72,,,977,732,,58
2017,547,379,1.443,534,493,74.2,140,72.8,407,72,,,973,747,,58
2017,547,379,1.443,534,493,74.2,140,72.8,407,72,,,973,747,,58
2023,517,383,1.35,531,458,74,113,72.5,410,74,266,577,975,746,47,58
2023,567,377,1.504,545,480,73.5,160,72.5,420,75,,,998,786,50,58.2
2023,591,385,1.535,560,520,73.5,182,72.5,415,74,,,1009,,,
2023,572,391,1.463,560,500,73.5,157,72.5,412,71,,,1007,,,
2023,572.4,380.9,1.503,545,540,74,145,72.5,422,70,279,,1002.6,799,,
2023,517,383,1.35,531,458,74,113,72.5,410,74,266,577,975,746,47,58
2022,577,384,1.503,560,515,73,178,72.5,412,70,,,1002,803,50,58.4
